               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.023376,           0.0082437,           0.0012096,             0.96638,             0.93504,             0.94598,              0.7041,            0.016301,           0.0045707,           0.0011129,            0.002476,            0.002476,            0.002476
                  78,            0.021877,           0.0084033,           0.0023257,             0.96487,             0.93507,             0.94871,             0.71068,            0.016763,           0.0045598,           0.0010703,            0.002377,            0.002377,            0.002377
                  79,             0.02088,           0.0086671,           0.0013281,             0.96437,             0.93663,             0.95018,             0.70772,            0.016167,           0.0045707,           0.0010863,            0.002278,            0.002278,            0.002278
                  80,             0.02104,           0.0076844,           0.0014054,             0.96531,             0.94291,              0.9533,             0.71447,            0.016224,           0.0046246,           0.0010918,            0.002179,            0.002179,            0.002179
                  81,            0.021854,            0.007261,           0.0009642,             0.96594,             0.94336,             0.95435,             0.71536,             0.01618,           0.0044978,           0.0010222,             0.00208,             0.00208,             0.00208
                  82,            0.022029,           0.0083236,           0.0015229,             0.96649,             0.94336,             0.95237,              0.7081,            0.016219,           0.0045693,          0.00093985,            0.001981,            0.001981,            0.001981
                  83,            0.022731,           0.0078979,           0.0015431,             0.96762,             0.94336,             0.95346,             0.72164,            0.015766,           0.0047333,          0.00094242,            0.001882,            0.001882,            0.001882
                  84,             0.01977,           0.0084483,           0.0011577,             0.96763,             0.94336,             0.94873,             0.69322,            0.016064,           0.0047524,          0.00090008,            0.001783,            0.001783,            0.001783
                  85,            0.019537,           0.0082309,          0.00093238,              0.9536,             0.94336,             0.94364,             0.68978,            0.015297,           0.0047498,          0.00085773,            0.001684,            0.001684,            0.001684
                  86,            0.019574,           0.0079487,           0.0022118,              0.9538,              0.9407,             0.94441,             0.71321,             0.01539,           0.0047424,          0.00078363,            0.001585,            0.001585,            0.001585
                  87,            0.018115,           0.0082735,           0.0010324,             0.94139,             0.94336,             0.94402,             0.70384,            0.015611,           0.0047233,          0.00072441,            0.001486,            0.001486,            0.001486
                  88,            0.021067,           0.0076617,            0.001313,             0.95552,             0.94291,             0.94701,             0.69769,            0.016032,           0.0046608,          0.00069866,            0.001387,            0.001387,            0.001387
                  89,            0.018716,            0.007213,          0.00083764,              0.9456,             0.94336,             0.94596,             0.70781,            0.015446,           0.0046065,          0.00066476,            0.001288,            0.001288,            0.001288
                  90,            0.019362,           0.0070314,           0.0011701,              0.9494,             0.94336,             0.94778,             0.70816,            0.015444,           0.0046241,          0.00063558,            0.001189,            0.001189,            0.001189
                  91,            0.022219,           0.0072187,           0.0020385,             0.94914,             0.94336,             0.94708,              0.7167,             0.01537,           0.0045774,          0.00058608,             0.00109,             0.00109,             0.00109
                  92,            0.020936,            0.007486,           0.0010739,             0.95184,             0.94336,              0.9517,             0.69341,            0.015706,           0.0045981,          0.00053258,            0.000991,            0.000991,            0.000991
                  93,            0.019771,           0.0073066,           0.0011486,             0.96925,             0.94336,             0.95321,             0.71222,            0.015417,           0.0045424,          0.00050669,            0.000892,            0.000892,            0.000892
                  94,            0.017915,           0.0075742,          0.00099875,             0.97023,             0.94634,             0.95419,                0.69,            0.015364,           0.0045357,          0.00049009,            0.000793,            0.000793,            0.000793
                  95,            0.017217,           0.0071695,          0.00059254,             0.97111,              0.9459,               0.954,             0.71499,            0.015034,           0.0044506,          0.00048594,            0.000694,            0.000694,            0.000694
                  96,            0.019581,           0.0079258,           0.0022779,             0.97082,             0.94502,             0.95395,             0.70323,            0.015551,            0.004457,          0.00048037,            0.000595,            0.000595,            0.000595
                  97,            0.019794,           0.0074501,           0.0021628,             0.97084,             0.94267,             0.95293,             0.71762,            0.015324,           0.0044372,          0.00047607,            0.000496,            0.000496,            0.000496
                  98,            0.017787,           0.0064179,           0.0016561,             0.97038,               0.941,             0.95209,             0.72099,            0.015076,           0.0044611,          0.00047321,            0.000397,            0.000397,            0.000397
                  99,            0.017985,           0.0073371,           0.0017126,             0.96885,             0.94112,             0.95205,             0.72002,            0.015027,           0.0044935,          0.00047021,            0.000298,            0.000298,            0.000298
